STT,Tỉnh/Thành phố,Vùng miền,Tỉnh lân cận,Index tỉnh lân cận
1,Hà Nội,Đồng bằng sông Hồng,"['Vĩnh Phúc', 'Phú Thọ', 'Hòa Bình', 'Hà Nam', 'Bắc Ninh', 'Hưng Yên', 'Thái Nguyên', 'Bắc Giang']","[18, 9, 17, 23, 19, 21, 8, 4]"
2,Hải Phòng,Đồng bằng sông Hồng,"['Quảng Ninh', 'Hải Dương', 'Thái Bình']","[3, 20, 22]"
3,Quảng Ninh,Đông Bắc,"['Lạng Sơn', 'Bắc Giang', 'Hải Dương', 'Hải Phòng']","[7, 4, 20, 2]"
4,Bắc Giang,Đông Bắc,"['Lạng Sơn', 'Thái Nguyên', 'Bắc Ninh', 'Hải Dương', 'Quảng Ninh', 'Hà Nội']","[7, 8, 19, 20, 3, 1]"
5,Bắc Kạn,Đông Bắc,"['Cao Bằng', 'Lạng Sơn', 'Thái Nguyên', 'Tuyên Quang']","[6, 7, 8, 10]"
6,Cao Bằng,Đông Bắc,"['Hà Giang', 'Tuyên Quang', 'Bắc Kạn', 'Lạng Sơn']","[11, 10, 5, 7]"
7,Lạng Sơn,Đông Bắc,"['Cao Bằng', 'Bắc Kạn', 'Bắc Giang', 'Quảng Ninh', 'Thái Nguyên']","[6, 5, 4, 3, 8]"
8,Thái Nguyên,Đông Bắc,"['Bắc Kạn', 'Tuyên Quang', 'Vĩnh Phúc', 'Bắc Giang', 'Hà Nội', 'Lạng Sơn']","[5, 10, 18, 4, 1, 7]"
9,Phú Thọ,Trung du & Miền núi Bắc Bộ,"['Tuyên Quang', 'Yên Bái', 'Sơn La', 'Hòa Bình', 'Hà Nội', 'Vĩnh Phúc']","[10, 13, 16, 17, 1, 18]"
10,Tuyên Quang,Trung du & Miền núi Bắc Bộ,"['Hà Giang', 'Cao Bằng', 'Bắc Kạn', 'Thái Nguyên', 'Vĩnh Phúc', 'Phú Thọ', 'Yên Bái']","[11, 6, 5, 8, 18, 9, 13]"
11,Hà Giang,Trung du & Miền núi Bắc Bộ,"['Cao Bằng', 'Tuyên Quang', 'Lào Cai', 'Yên Bái']","[6, 10, 12, 13]"
12,Lào Cai,Tây Bắc,"['Hà Giang', 'Yên Bái', 'Lai Châu']","[11, 13, 14]"
13,Yên Bái,Tây Bắc,"['Lào Cai', 'Hà Giang', 'Tuyên Quang', 'Phú Thọ', 'Sơn La', 'Lai Châu']","[12, 11, 10, 9, 16, 14]"
14,Lai Châu,Tây Bắc,"['Lào Cai', 'Yên Bái', 'Sơn La', 'Điện Biên']","[12, 13, 16, 15]"
15,Điện Biên,Tây Bắc,"['Lai Châu', 'Sơn La']","[14, 16]"
16,Sơn La,Tây Bắc,"['Điện Biên', 'Lai Châu', 'Yên Bái', 'Phú Thọ', 'Hòa Bình', 'Thanh Hóa']","[15, 14, 13, 9, 17, 26]"
17,Hòa Bình,Tây Bắc,"['Sơn La', 'Phú Thọ', 'Hà Nội', 'Hà Nam', 'Ninh Bình', 'Thanh Hóa']","[16, 9, 1, 23, 25, 26]"
18,Vĩnh Phúc,Đồng bằng sông Hồng,"['Phú Thọ', 'Tuyên Quang', 'Thái Nguyên', 'Hà Nội']","[9, 10, 8, 1]"
19,Bắc Ninh,Đồng bằng sông Hồng,"['Bắc Giang', 'Hải Dương', 'Hưng Yên', 'Hà Nội']","[4, 20, 21, 1]"
20,Hải Dương,Đồng bằng sông Hồng,"['Bắc Giang', 'Bắc Ninh', 'Quảng Ninh', 'Hưng Yên', 'Thái Bình', 'Hải Phòng']","[4, 19, 3, 21, 22, 2]"
21,Hưng Yên,Đồng bằng sông Hồng,"['Hải Dương', 'Bắc Ninh', 'Hà Nội', 'Hà Nam', 'Thái Bình']","[20, 19, 1, 23, 22]"
22,Thái Bình,Đồng bằng sông Hồng,"['Hải Dương', 'Hưng Yên', 'Nam Định', 'Hà Nam', 'Hải Phòng']","[20, 21, 24, 23, 2]"
23,Hà Nam,Đồng bằng sông Hồng,"['Hưng Yên', 'Nam Định', 'Thái Bình', 'Ninh Bình', 'Hà Nội', 'Hòa Bình']","[21, 24, 22, 25, 1, 17]"
24,Nam Định,Đồng bằng sông Hồng,"['Hà Nam', 'Ninh Bình', 'Thái Bình']","[23, 25, 22]"
25,Ninh Bình,Đồng bằng sông Hồng,"['Thanh Hóa', 'Nam Định', 'Hà Nam', 'Hòa Bình']","[26, 24, 23, 17]"
26,Thanh Hóa,Bắc Trung Bộ,"['Ninh Bình', 'Nghệ An', 'Hòa Bình', 'Sơn La']","[25, 27, 17, 16]"
27,Nghệ An,Bắc Trung Bộ,"['Thanh Hóa', 'Hà Tĩnh']","[26, 28]"
28,Hà Tĩnh,Bắc Trung Bộ,"['Nghệ An', 'Quảng Bình']","[27, 29]"
29,Quảng Bình,Bắc Trung Bộ,"['Hà Tĩnh', 'Quảng Trị']","[28, 30]"
30,Quảng Trị,Bắc Trung Bộ,"['Quảng Bình', 'Thừa Thiên Huế']","[29, 31]"
31,Thừa Thiên Huế,Bắc Trung Bộ,"['Quảng Trị', 'Đà Nẵng', 'Quảng Nam']","[30, 32, 33]"
32,Đà Nẵng,Nam Trung Bộ,"['Thừa Thiên Huế', 'Quảng Nam']","[31, 33]"
33,Quảng Nam,Nam Trung Bộ,"['Đà Nẵng', 'Quảng Ngãi', 'Kon Tum', 'Thừa Thiên Huế']","[32, 34, 40, 31]"
34,Quảng Ngãi,Nam Trung Bộ,"['Quảng Nam', 'Bình Định', 'Kon Tum', 'Gia Lai']","[33, 35, 40, 41]"
35,Bình Định,Nam Trung Bộ,"['Quảng Ngãi', 'Phú Yên', 'Gia Lai']","[34, 36, 41]"
36,Phú Yên,Nam Trung Bộ,"['Bình Định', 'Khánh Hòa', 'Đắk Lắk', 'Gia Lai']","[35, 37, 42, 41]"
37,Khánh Hòa,Nam Trung Bộ,"['Phú Yên', 'Ninh Thuận', 'Lâm Đồng', 'Đắk Lắk']","[36, 38, 44, 42]"
